Время[с],Напряжение[В]
0.0007,1.5586
0.0014,1.5586
0.0020,1.5623
0.0027,1.5586
0.0033,1.5623
0.0040,1.5586
0.0047,1.5586
0.0053,1.5586
0.0061,1.5623
0.0068,1.5623
0.0074,1.5623
0.0081,1.5549
0.0088,1.5623
0.0094,1.5623
0.0101,1.5623
0.0108,1.5586
0.0115,1.5623
0.0123,1.5660
0.0130,1.5586
0.0137,1.5623
0.0144,1.5623
0.0151,1.5623
0.0158,1.5623
0.0165,1.5623
0.0172,1.5549
0.0180,1.5623
0.0186,1.5549
0.0193,1.5623
0.0199,1.5660
0.0206,1.5660
0.0213,1.5623
0.0220,1.5623
0.0227,1.5623
0.0234,1.5623
0.0301,1.5586
0.0308,1.5623
0.0315,1.5623
0.0322,1.5660
0.0329,1.5512
0.0336,1.5660
0.0342,1.5586
0.0348,1.5623
0.0355,1.5623
0.0362,1.5623
0.0369,1.5623
0.0376,1.5623
0.0383,1.5549
0.0390,1.5623
0.0396,1.5586
0.0403,1.5586
0.0411,1.5623
0.0418,1.5623
0.0424,1.5623
0.0431,1.5623
0.0438,1.5660
0.0445,1.5586
0.0452,1.5623
0.0459,1.5586
0.0466,1.5586
0.0473,1.5660
0.0480,1.5586
0.0487,1.5623
0.0493,1.5586
0.0500,1.5586
0.0508,1.5623
0.0515,1.5623
0.0522,1.5623
0.0528,1.5623
0.0535,1.5623
0.0542,1.5623
0.0550,1.5623
0.0557,1.5623
0.0564,1.5586
0.0571,1.5623
0.0578,1.5586
0.0585,1.5660
0.0592,1.5586
0.0599,1.5623
0.0607,1.5549
0.0614,1.5623
0.0621,1.5586
0.0628,1.5586
0.0635,1.5623
0.0642,1.5623
0.0650,1.5623
0.0657,1.5623
0.0664,1.5623
0.0671,1.5623
0.0678,1.5623
0.0685,1.5623
0.0692,1.5623
0.0699,1.5623
0.0706,1.5512
0.0715,1.5623
0.0722,1.5623
0.0730,1.5549
0.0737,1.5623
0.0744,1.5549
0.0751,1.5623
0.0758,1.5623
0.0765,1.5623
0.0772,1.5623
0.0779,1.5623
0.0786,1.5623
0.0793,1.5623
0.0799,1.5623
0.0807,1.5660
0.0814,1.5623
0.0821,1.5549
0.0828,1.5660
0.0837,1.5549
0.0846,1.5623
0.0855,1.5623
0.0862,1.5623
0.0869,1.5623
0.0876,1.5623
0.0883,1.5623
0.0892,1.5549
0.0901,1.5586
0.0908,1.5586
0.0915,1.5623
0.0923,1.5549
0.0929,1.5660
0.0936,1.5623
0.0943,1.5623
0.0949,1.5623
0.0956,1.5660
0.0964,1.5549
0.0973,1.5623
0.0983,1.5623
0.0991,1.5586
0.0998,1.5660
0.1004,1.5623
0.1013,1.5623
0.1022,1.5586
0.1029,1.5623
0.1036,1.5623
0.1042,1.5623
0.1049,1.5623
0.1055,1.5623
0.1062,1.5623
0.1068,1.5586
0.1074,1.5623
0.1081,1.5549
0.1087,1.5623
0.1095,1.5549
0.1102,1.5623
0.1109,1.5623
0.1117,1.5623
0.1124,1.5586
0.1131,1.5623
0.1139,1.5586
0.1147,1.5623
0.1155,1.5586
0.1163,1.5623
0.1170,1.5623
0.1177,1.5623
0.1184,1.5586
0.1192,1.5586
0.1199,1.5623
0.1207,1.5623
0.1214,1.5586
0.1221,1.5623
0.1227,1.5586
0.1234,1.5623
0.1240,1.5623
0.1247,1.5623
0.1253,1.5623
0.1258,1.5623
0.1264,1.5623
0.1270,1.5623
0.1276,1.5549
0.1282,1.5623
0.1287,1.5586
0.1293,1.5623
0.1299,1.5623
0.1305,1.5623
0.1311,1.5623
0.1317,1.5512
0.1322,1.5660
0.1328,1.5623
0.1334,1.5623
0.1340,1.5549
0.1346,1.5623
0.1352,1.5660
0.1358,1.5623
0.1364,1.5623
0.1371,1.5512
0.1377,1.5660
0.1383,1.5623
0.1389,1.5623
0.1395,1.5586
0.1400,1.5586
0.1406,1.5586
0.1412,1.5623
0.1419,1.5623
0.1425,1.5623
0.1431,1.5623
0.1437,1.5623
0.1443,1.5623
0.1449,1.5586
0.1455,1.5623
0.1461,1.5586
0.1466,1.5623
0.1472,1.5623
0.1478,1.5623
0.1483,1.5623
0.1489,1.5660
0.1495,1.5586
0.1500,1.5623
0.1506,1.5623
0.1513,1.5623
0.1519,1.5623
0.1526,1.5660
0.1532,1.5623
0.1539,1.5586
0.1545,1.5623
0.1550,1.5623
0.1556,1.5623
0.1563,1.5586
0.1570,1.5586
0.1576,1.5623
0.1581,1.5586
0.1587,1.5586
0.1594,1.5623
0.1601,1.5623
0.1609,1.5623
0.1615,1.5586
0.1621,1.5623
0.1627,1.5549
0.1633,1.5623
0.1638,1.5623
0.1645,1.5586
0.1651,1.5586
0.1658,1.5623
0.1663,1.5586
0.1670,1.5586
0.1676,1.5623
0.1683,1.5586
0.1689,1.5623
0.1697,1.5623
0.1704,1.5623
0.1710,1.5623
0.1718,1.5623
0.1726,1.5623
0.1733,1.5512
0.1740,1.5623
0.1747,1.5586
0.1754,1.5623
0.1761,1.5623
0.1769,1.5623
0.1776,1.5623
0.1783,1.5586
0.1791,1.5586
0.1798,1.5623
0.1806,1.5549
0.1813,1.5623
0.1820,1.5623
0.1827,1.5623
0.1835,1.5660
0.1842,1.5623
0.1849,1.5660
0.1858,1.5586
0.1865,1.5586
0.1873,1.5623
0.1880,1.5549
0.1888,1.5623
0.1895,1.5623
0.1904,1.5586
0.1911,1.5623
0.1919,1.5586
0.1926,1.5549
0.1934,1.5623
0.1942,1.5586
0.1950,1.5586
0.1957,1.5623
