Время[с],Напряжение[В]
0.1965,1.5623
0.1973,1.5549
0.1980,1.5623
0.1988,1.5623
0.1995,1.5623
0.2003,1.5586
0.2011,1.5623
0.2019,1.5586
0.2026,1.5586
0.2034,1.5549
0.2041,1.5586
0.2049,1.5623
0.2056,1.5623
0.2064,1.5586
0.2072,1.5549
0.2080,1.5549
0.2087,1.5623
0.2094,1.5586
0.2101,1.5586
0.2109,1.5586
0.2116,1.5623
0.2124,1.5623
0.2131,1.5660
0.2138,1.5623
0.2145,1.5549
0.2154,1.5623
0.2162,1.5623
0.2170,1.5549
0.2177,1.5623
0.2184,1.5586
0.2192,1.5586
0.2199,1.5586
0.2207,1.5623
0.2216,1.5586
0.2223,1.5586
0.2230,1.5586
0.2238,1.5623
0.2245,1.5549
0.2252,1.5586
0.2259,1.5623
0.2265,1.5549
0.2271,1.5623
0.2277,1.5512
0.2283,1.5623
0.2288,1.5623
0.2294,1.5623
0.2300,1.5623
0.2306,1.5549
0.2313,1.5623
0.2319,1.5623
0.2326,1.5623
0.2332,1.5623
0.2340,1.5623
0.2347,1.5623
0.2353,1.5623
0.2360,1.5586
0.2367,1.5623
0.2375,1.5623
0.2382,1.5549
0.2389,1.5623
0.2396,1.5623
0.2403,1.5512
0.2410,1.5623
0.2417,1.5549
0.2425,1.5586
0.2432,1.5623
0.2439,1.5623
0.2446,1.5549
0.2453,1.5586
0.2460,1.5623
0.2467,1.5623
0.2473,1.5623
0.2480,1.5586
0.2488,1.5623
0.2495,1.5623
0.2502,1.5549
0.2509,1.5586
0.2516,1.5549
0.2523,1.5623
0.2529,1.5586
0.2536,1.5549
0.2543,1.5586
0.2550,1.5660
0.2557,1.5623
0.2564,1.5586
0.2571,1.5623
0.2578,1.5623
0.2585,1.5549
0.2592,1.5586
0.2598,1.5623
0.2606,1.5586
0.2612,1.5623
0.2619,1.5623
0.2626,1.5586
0.2633,1.5623
0.2640,1.5586
0.2647,1.5623
0.2654,1.5623
0.2661,1.5586
0.2668,1.5623
0.2674,1.5512
0.2681,1.5623
0.2688,1.5623
0.2695,1.5623
0.2702,1.5623
0.2709,1.5623
0.2715,1.5623
0.2722,1.5586
0.2729,1.5623
0.2736,1.5549
0.2743,1.5586
0.2750,1.5623
0.2757,1.5623
0.2764,1.5586
0.2771,1.5586
0.2778,1.5586
0.2785,1.5549
0.2792,1.5623
0.2799,1.5512
0.2806,1.5623
0.2815,1.5623
0.2824,1.5623
0.2834,1.5623
0.2840,1.5586
0.2847,1.5623
0.2854,1.5623
0.2861,1.5549
0.2868,1.5586
0.2874,1.5623
0.2881,1.5623
0.2888,1.5623
0.2896,1.5512
0.2903,1.5586
0.2910,1.5623
0.2918,1.5623
0.2926,1.5623
0.2934,1.5586
0.2941,1.5623
0.2949,1.5586
0.2956,1.5586
0.2964,1.5586
0.2971,1.5623
0.2977,1.5660
0.2984,1.5623
0.2990,1.5623
0.2997,1.5623
0.3004,1.5623
0.3010,1.5623
0.3017,1.5549
0.3024,1.5623
0.3035,1.5623
0.3043,1.5623
0.3052,1.5623
0.3060,1.5623
0.3067,1.5586
0.3075,1.5623
0.3082,1.5586
0.3089,1.5623
0.3096,1.5586
0.3104,1.5549
0.3111,1.5549
0.3119,1.5623
0.3126,1.5549
0.3133,1.5586
0.3140,1.5586
0.3147,1.5586
0.3155,1.5586
0.3162,1.5549
0.3169,1.5586
0.3176,1.5586
0.3183,1.5586
0.3190,1.5623
0.3197,1.5586
0.3205,1.5623
0.3212,1.5623
0.3220,1.5623
0.3227,1.5549
0.3235,1.5623
0.3243,1.5549
0.3250,1.5586
0.3258,1.5549
0.3265,1.5623
0.3273,1.5549
0.3280,1.5623
0.3287,1.5623
0.3295,1.5586
0.3302,1.5586
0.3310,1.5586
0.3317,1.5623
0.3325,1.5586
0.3332,1.5586
0.3340,1.5623
0.3347,1.5549
0.3355,1.5623
0.3362,1.5623
0.3370,1.5549
0.3377,1.5586
0.3385,1.5586
0.3392,1.5549
0.3399,1.5623
0.3407,1.5623
0.3414,1.5549
0.3422,1.5623
0.3429,1.5623
0.3437,1.5623
0.3445,1.5586
0.3452,1.5549
0.3459,1.5586
0.3467,1.5586
0.3474,1.5623
0.3481,1.5586
0.3489,1.5512
0.3496,1.5623
0.3503,1.5623
0.3511,1.5623
0.3519,1.5623
0.3526,1.5623
0.3533,1.5623
0.3541,1.5623
0.3548,1.5512
0.3556,1.5623
0.3563,1.5549
0.3570,1.5586
0.3577,1.5623
0.3585,1.5549
0.3593,1.5586
0.3600,1.5586
0.3608,1.5586
0.3616,1.5623
0.3623,1.5586
0.3630,1.5623
0.3638,1.5623
0.3645,1.5623
0.3652,1.5623
0.3660,1.5586
0.3667,1.5623
0.3674,1.5623
0.3682,1.5660
0.3689,1.5623
0.3697,1.5623
0.3704,1.5623
0.3711,1.5512
0.3718,1.5623
0.3726,1.5549
0.3733,1.5623
0.3741,1.5623
0.3748,1.5623
0.3756,1.5549
0.3763,1.5512
0.3770,1.5623
0.3778,1.5623
0.3786,1.5623
0.3793,1.5623
0.3801,1.5586
0.3808,1.5623
0.3815,1.5623
0.3823,1.5549
0.3830,1.5623
0.3837,1.5623
0.3845,1.5512
0.3852,1.5586
0.3859,1.5586
0.3867,1.5549
0.3874,1.5586
0.3881,1.5623
0.3889,1.5623
0.3896,1.5623
0.3903,1.5623
0.3911,1.5660
0.3918,1.5623
0.3926,1.5623
0.3934,1.5549
0.3943,1.5623
0.3950,1.5623
0.3958,1.5586
0.3965,1.5623
0.3974,1.5586
0.3983,1.5660
0.3991,1.5623
0.3998,1.5586
0.4007,1.5586
0.4015,1.5623
0.4023,1.5586
0.4031,1.5623
0.4038,1.5512
0.4046,1.5549
0.4053,1.5586
0.4060,1.5623
0.4068,1.5623
0.4075,1.5586
0.4082,1.5549
0.4090,1.5623
0.4096,1.5586
0.4103,1.5586
0.4110,1.5623
0.4116,1.5623
0.4123,1.5512
0.4130,1.5549
0.4136,1.5586
0.4142,1.5623
0.4149,1.5586
0.4156,1.5586
0.4163,1.5623
0.4170,1.5623
0.4177,1.5660
0.4183,1.5623
0.4191,1.5586
0.4197,1.5586
0.4205,1.5623
0.4212,1.5586
0.4219,1.5623
0.4226,1.5623
0.4232,1.5623
0.4239,1.5586
0.4246,1.5586
0.4254,1.5623
0.4261,1.5549
0.4268,1.5512
0.4275,1.5586
0.4282,1.5549
0.4289,1.5586
0.4296,1.5586
0.4303,1.5549
0.4310,1.5660
0.4317,1.5623
0.4324,1.5623
0.4331,1.5623
0.4337,1.5623
0.4344,1.5586
0.4351,1.5549
0.4358,1.5586
0.4365,1.5623
0.4372,1.5623
0.4379,1.5586
0.4386,1.5660
0.4393,1.5660
0.4401,1.5623
0.4408,1.5623
0.4416,1.5586
0.4423,1.5623
0.4431,1.5623
0.4438,1.5623
0.4445,1.5586
0.4452,1.5549
0.4459,1.5623
0.4466,1.5623
0.4473,1.5623
0.4479,1.5623
0.4487,1.5549
0.4493,1.5623
0.4500,1.5623
0.4506,1.5623
0.4513,1.5586
0.4520,1.5623
0.4527,1.5623
0.4534,1.5586
0.4541,1.5623
0.4548,1.5623
0.4555,1.5623
0.4562,1.5586
0.4569,1.5623
0.4576,1.5586
0.4583,1.5549
0.4590,1.5623
0.4597,1.5586
0.4604,1.5549
0.4612,1.5586
0.4619,1.5586
0.4628,1.5586
0.4637,1.5586
0.4645,1.5660
0.4653,1.5586
0.4662,1.5623
0.4670,1.5586
0.4679,1.5623
0.4688,1.5623
0.4698,1.5512
0.4707,1.5623
0.4716,1.5623
0.4727,1.5549
0.4735,1.5623
0.4743,1.5586
0.4751,1.5623
0.4759,1.5623
0.4767,1.5586
0.4776,1.5623
0.4784,1.5586
0.4792,1.5586
0.4800,1.5623
0.4808,1.5586
0.4816,1.5586
0.4822,1.5623
0.4829,1.5660
0.4837,1.5623
0.4844,1.5586
0.4851,1.5586
0.4859,1.5586
0.4866,1.5623
0.4873,1.5623
0.4880,1.5623
0.4888,1.5586
0.4895,1.5623
0.4903,1.5623
0.4910,1.5586
0.4918,1.5586
0.4926,1.5512
0.4933,1.5586
0.4940,1.5586
0.4948,1.5623
0.4956,1.5586
0.4964,1.5623
0.4972,1.5512
0.4979,1.5586
0.4987,1.5623
0.4997,1.5623
0.5005,1.5586
0.5013,1.5623
0.5020,1.5623
0.5028,1.5623
0.5035,1.5586
0.5043,1.5586
0.5050,1.5586
0.5057,1.5623
0.5065,1.5623
0.5072,1.5623
0.5080,1.5549
0.5088,1.5586
0.5096,1.5549
0.5104,1.5549
0.5112,1.5512
0.5120,1.5623
0.5128,1.5586
0.5136,1.5586
0.5143,1.5586
0.5152,1.5623
0.5160,1.5586
0.5168,1.5586
0.5175,1.5586
0.5183,1.5586
0.5191,1.5549
0.5199,1.5549
0.5207,1.5623
0.5215,1.5623
0.5223,1.5623
0.5231,1.5586
0.5238,1.5586
0.5246,1.5586
0.5254,1.5623
0.5261,1.5586
0.5269,1.5623
0.5277,1.5623
0.5285,1.5623
0.5292,1.5586
0.5300,1.5623
0.5309,1.5512
0.5317,1.5623
0.5324,1.5586
0.5332,1.5549
0.5339,1.5623
0.5347,1.5586
0.5354,1.5623
0.5362,1.5623
0.5369,1.5623
0.5376,1.5586
0.5384,1.5586
0.5392,1.5586
0.5399,1.5623
0.5407,1.5512
0.5414,1.5623
0.5422,1.5623
0.5429,1.5623
0.5437,1.5623
0.5445,1.5623
0.5452,1.5623
0.5460,1.5586
0.5468,1.5586
0.5476,1.5623
0.5483,1.5549
0.5491,1.5586
0.5500,1.5623
0.5508,1.5623
0.5516,1.5586
0.5524,1.5623
0.5532,1.5586
0.5540,1.5623
0.5549,1.5623
0.5556,1.5623
0.5564,1.5586
0.5573,1.5549
0.5580,1.5623
0.5588,1.5623
0.5595,1.5512
0.5603,1.5623
0.5609,1.5623
0.5616,1.5623
0.5622,1.5586
0.5629,1.5586
0.5635,1.5623
0.5641,1.5586
0.5647,1.5586
0.5653,1.5623
0.5660,1.5586
0.5667,1.5512
0.5674,1.5623
0.5681,1.5586
0.5688,1.5623
0.5695,1.5623
0.5702,1.5549
0.5710,1.5586
0.5717,1.5586
0.5725,1.5623
0.5731,1.5623
0.5738,1.5586
0.5745,1.5623
0.5753,1.5623
0.5760,1.5623
0.5767,1.5586
0.5774,1.5623
0.5781,1.5512
0.5788,1.5623
0.5795,1.5586
0.5802,1.5623
0.5809,1.5623
0.5816,1.5586
0.5823,1.5623
0.5830,1.5623
0.5837,1.5586
0.5844,1.5623
0.5851,1.5586
0.5858,1.5623
0.5865,1.5549
0.5872,1.5623
0.5879,1.5586
0.5886,1.5586
0.5893,1.5623
0.5901,1.5586
0.5908,1.5512
0.5915,1.5549
0.5923,1.5623
0.5930,1.5623
0.5937,1.5586
0.5944,1.5549
0.5952,1.5586
0.5959,1.5549
0.5967,1.5586
0.5974,1.5549
0.5981,1.5512
0.5988,1.5586
0.5996,1.5512
0.6003,1.5586
0.6012,1.5623
0.6020,1.5586
0.6028,1.5586
0.6036,1.5623
0.6044,1.5586
0.6052,1.5623
0.6060,1.5586
0.6067,1.5586
0.6076,1.5623
0.6085,1.5623
0.6095,1.5586
0.6102,1.5549
0.6109,1.5623
0.6116,1.5549
0.6123,1.5586
0.6131,1.5623
0.6140,1.5623
0.6166,1.5623
0.6174,1.5586
0.6184,1.5623
0.6198,1.5623
0.6206,1.5549
0.6214,1.5623
0.6221,1.5586
0.6229,1.5586
0.6236,1.5586
0.6243,1.5623
0.6251,1.5623
0.6258,1.5623
0.6266,1.5549
0.6274,1.5623
0.6282,1.5586
0.6290,1.5549
0.6297,1.5623
0.6305,1.5623
0.6312,1.5586
0.6320,1.5549
0.6327,1.5623
0.6334,1.5623
0.6342,1.5586
0.6349,1.5660
0.6357,1.5586
0.6364,1.5512
0.6371,1.5512
0.6378,1.5549
0.6386,1.5586
0.6393,1.5623
0.6401,1.5623
0.6409,1.5660
0.6416,1.5623
0.6424,1.5586
0.6431,1.5549
0.6438,1.5623
0.6446,1.5623
0.6454,1.5586
0.6461,1.5623
0.6468,1.5586
0.6475,1.5623
0.6483,1.5623
0.6490,1.5623
0.6497,1.5549
0.6504,1.5586
0.6512,1.5623
0.6519,1.5623
0.6526,1.5549
0.6534,1.5623
0.6541,1.5586
0.6548,1.5586
0.6555,1.5586
0.6562,1.5623
0.6569,1.5586
0.6577,1.5586
0.6584,1.5549
0.6591,1.5623
0.6598,1.5586
0.6606,1.5623
0.6614,1.5586
0.6622,1.5623
0.6629,1.5623
0.6636,1.5549
0.6643,1.5623
0.6650,1.5623
0.6657,1.5623
0.6664,1.5586
0.6671,1.5623
0.6679,1.5623
0.6686,1.5623
0.6693,1.5549
0.6700,1.5623
0.6708,1.5623
0.6716,1.5623
0.6723,1.5623
0.6731,1.5623
0.6738,1.5586
0.6745,1.5586
0.6753,1.5623
0.6760,1.5586
0.6768,1.5586
0.6776,1.5623
0.6783,1.5623
0.6791,1.5586
0.6799,1.5623
0.6806,1.5512
0.6814,1.5586
0.6821,1.5623
0.6829,1.5549
0.6836,1.5623
0.6843,1.5586
0.6851,1.5623
0.6858,1.5586
0.6865,1.5549
0.6872,1.5586
0.6880,1.5586
0.6887,1.5623
0.6894,1.5586
0.6901,1.5586
0.6908,1.5586
0.6915,1.5623
0.6923,1.5586
0.6930,1.5586
0.6938,1.5623
0.6946,1.5586
0.6954,1.5623
0.6963,1.5586
0.6971,1.5586
0.6978,1.5623
0.6986,1.5586
0.6994,1.5586
0.7005,1.5623
0.7013,1.5549
0.7021,1.5623
0.7028,1.5512
0.7037,1.5586
0.7044,1.5586
0.7050,1.5586
0.7057,1.5549
0.7063,1.5549
0.7069,1.5549
0.7075,1.5623
0.7081,1.5512
0.7087,1.5549
0.7093,1.5623
0.7100,1.5623
0.7109,1.5660
0.7116,1.5623
0.7123,1.5512
0.7130,1.5623
0.7138,1.5623
0.7145,1.5549
0.7152,1.5512
0.7160,1.5623
0.7167,1.5586
0.7174,1.5623
0.7181,1.5623
0.7189,1.5586
0.7196,1.5586
0.7203,1.5623
0.7211,1.5586
0.7218,1.5586
0.7225,1.5586
0.7233,1.5549
0.7240,1.5623
0.7247,1.5549
0.7254,1.5623
0.7262,1.5623
0.7269,1.5623
0.7276,1.5623
0.7284,1.5586
0.7291,1.5512
0.7298,1.5660
0.7306,1.5623
0.7313,1.5586
0.7320,1.5586
0.7328,1.5549
0.7335,1.5586
0.7344,1.5512
0.7352,1.5586
0.7361,1.5549
0.7369,1.5623
0.7377,1.5586
0.7385,1.5623
0.7393,1.5623
0.7402,1.5623
0.7410,1.5623
0.7419,1.5623
0.7428,1.5623
0.7437,1.5586
0.7444,1.5623
0.7451,1.5586
0.7459,1.5623
0.7466,1.5586
0.7474,1.5623
0.7505,1.5623
0.7513,1.5549
0.7523,1.5586
0.7537,1.5586
0.7546,1.5623
0.7553,1.5549
0.7561,1.5586
0.7568,1.5586
0.7575,1.5623
0.7582,1.5586
0.7590,1.5623
0.7597,1.5586
0.7605,1.5586
0.7614,1.5549
0.7622,1.5586
0.7629,1.5586
0.7636,1.5623
0.7644,1.5623
0.7651,1.5623
0.7659,1.5623
0.7666,1.5586
0.7673,1.5549
0.7681,1.5623
0.7688,1.5586
0.7696,1.5586
0.7703,1.5586
0.7711,1.5586
0.7718,1.5586
0.7725,1.5586
0.7732,1.5623
0.7740,1.5549
0.7747,1.5623
0.7754,1.5623
0.7762,1.5623
0.7770,1.5512
0.7777,1.5512
0.7785,1.5549
0.7792,1.5623
0.7800,1.5586
0.7808,1.5623
0.7815,1.5623
0.7822,1.5549
0.7830,1.5586
0.7837,1.5623
0.7844,1.5512
0.7851,1.5512
0.7858,1.5623
0.7866,1.5623
0.7873,1.5623
0.7880,1.5586
0.7887,1.5549
0.7895,1.5549
0.7902,1.5586
0.7909,1.5586
0.7916,1.5623
0.7923,1.5549
0.7935,1.5623
0.7942,1.5623
0.7949,1.5623
0.7956,1.5586
0.7963,1.5586
0.7971,1.5586
0.7978,1.5586
0.7985,1.5549
0.7993,1.5586
0.8000,1.5512
0.8007,1.5549
0.8015,1.5623
0.8022,1.5623
0.8029,1.5623
0.8037,1.5623
0.8044,1.5623
0.8051,1.5623
0.8059,1.5586
0.8066,1.5586
0.8073,1.5623
0.8080,1.5623
0.8088,1.5549
0.8095,1.5623
0.8103,1.5623
0.8111,1.5623
0.8118,1.5586
0.8126,1.5549
0.8134,1.5549
0.8141,1.5623
0.8149,1.5623
0.8156,1.5586
0.8163,1.5586
0.8170,1.5623
0.8177,1.5623
0.8185,1.5586
0.8192,1.5586
0.8199,1.5549
0.8207,1.5623
0.8214,1.5549
0.8222,1.5586
0.8229,1.5623
0.8237,1.5586
0.8244,1.5623
0.8252,1.5549
0.8260,1.5623
0.8269,1.5623
0.8277,1.5512
0.8284,1.5586
0.8292,1.5623
0.8299,1.5623
0.8307,1.5586
0.8315,1.5512
0.8322,1.5549
0.8330,1.5586
0.8337,1.5586
0.8345,1.5586
0.8352,1.5549
0.8360,1.5623
0.8368,1.5586
0.8375,1.5586
0.8382,1.5586
0.8390,1.5586
0.8398,1.5623
0.8405,1.5586
0.8414,1.5586
0.8422,1.5623
0.8430,1.5623
0.8440,1.5623
0.8449,1.5586
0.8458,1.5623
0.8466,1.5586
0.8474,1.5549
0.8482,1.5586
0.8489,1.5586
0.8497,1.5623
0.8504,1.5623
0.8513,1.5586
0.8556,1.5623
0.8563,1.5586
0.8569,1.5623
0.8576,1.5549
0.8583,1.5549
0.8590,1.5586
0.8598,1.5549
0.8605,1.5623
0.8613,1.5623
0.8620,1.5623
0.8628,1.5586
0.8635,1.5623
0.8643,1.5586
0.8650,1.5623
0.8657,1.5623
0.8665,1.5623
0.8672,1.5623
0.8679,1.5549
0.8686,1.5623
0.8694,1.5586
0.8701,1.5623
0.8709,1.5586
0.8716,1.5623
0.8724,1.5623
0.8731,1.5549
0.8738,1.5549
0.8745,1.5623
0.8752,1.5512
0.8760,1.5623
0.8767,1.5549
0.8775,1.5623
0.8782,1.5623
0.8790,1.5586
0.8797,1.5586
0.8805,1.5586
0.8814,1.5586
0.8822,1.5623
0.8832,1.5623
0.8840,1.5623
0.8848,1.5549
0.8856,1.5586
0.8865,1.5623
0.8873,1.5549
0.8881,1.5623
0.8889,1.5549
0.8899,1.5586
0.8908,1.5623
0.8918,1.5549
0.8925,1.5586
0.8933,1.5586
0.8940,1.5549
0.8947,1.5623
0.8956,1.5623
0.8986,1.5549
0.8995,1.5623
0.9014,1.5623
0.9025,1.5586
0.9032,1.5586
0.9040,1.5549
0.9047,1.5623
0.9055,1.5586
0.9062,1.5549
0.9069,1.5623
0.9077,1.5623
0.9084,1.5586
0.9092,1.5586
0.9100,1.5549
0.9108,1.5586
0.9116,1.5586
0.9124,1.5623
0.9132,1.5586
0.9139,1.5512
0.9147,1.5623
0.9154,1.5586
0.9161,1.5586
0.9169,1.5512
0.9177,1.5586
0.9184,1.5623
0.9192,1.5586
0.9199,1.5586
0.9206,1.5549
0.9214,1.5512
0.9221,1.5586
0.9229,1.5586
0.9236,1.5586
0.9243,1.5623
0.9250,1.5586
0.9258,1.5549
0.9265,1.5623
0.9273,1.5586
0.9282,1.5623
0.9289,1.5549
0.9297,1.5586
0.9304,1.5586
0.9312,1.5623
0.9319,1.5623
0.9327,1.5586
0.9334,1.5586
0.9341,1.5549
0.9349,1.5549
0.9356,1.5586
0.9364,1.5586
0.9371,1.5623
0.9379,1.5586
0.9386,1.5586
0.9393,1.5623
0.9401,1.5549
0.9409,1.5512
0.9416,1.5586
0.9423,1.5586
0.9431,1.5549
0.9439,1.5623
0.9447,1.5586
0.9455,1.5623
0.9462,1.5549
0.9470,1.5586
0.9477,1.5623
0.9484,1.5549
0.9492,1.5586
0.9499,1.5586
0.9506,1.5586
0.9514,1.5549
0.9522,1.5586
0.9529,1.5623
0.9536,1.5586
0.9543,1.5512
0.9551,1.5586
0.9558,1.5623
0.9565,1.5586
0.9573,1.5623
0.9580,1.5586
0.9587,1.5549
0.9595,1.5549
0.9603,1.5549
0.9611,1.5549
0.9619,1.5586
0.9626,1.5623
0.9634,1.5586
0.9641,1.5586
0.9648,1.5623
0.9656,1.5623
0.9663,1.5586
0.9670,1.5623
0.9678,1.5623
0.9685,1.5623
0.9693,1.5586
0.9701,1.5586
0.9709,1.5623
0.9717,1.5586
0.9724,1.5586
0.9732,1.5549
0.9739,1.5586
0.9747,1.5623
0.9754,1.5623
0.9762,1.5549
0.9772,1.5586
0.9780,1.5623
0.9788,1.5549
0.9795,1.5623
0.9803,1.5586
0.9810,1.5586
0.9818,1.5623
0.9825,1.5586
0.9832,1.5586
0.9840,1.5586
0.9847,1.5586
0.9855,1.5623
0.9863,1.5623
0.9871,1.5586
0.9879,1.5623
0.9887,1.5586
0.9894,1.5623
0.9903,1.5623
0.9912,1.5623
0.9919,1.5512
0.9927,1.5623
0.9940,1.5586
0.9948,1.5623
0.9956,1.5623
0.9963,1.5586
0.9971,1.5586
0.9979,1.5586
0.9986,1.5586
0.9993,1.5586
1.0001,1.5623
1.0008,1.5586
1.0021,1.5549
1.0028,1.5586
1.0035,1.5586
1.0041,1.5623
1.0047,1.5549
1.0053,1.5586
1.0059,1.5623
1.0066,1.5586
1.0072,1.5623
1.0079,1.5623
1.0086,1.5586
1.0094,1.5512
1.0101,1.5586
1.0109,1.5623
1.0116,1.5623
1.0123,1.5512
1.0131,1.5586
1.0138,1.5623
1.0146,1.5549
1.0153,1.5623
1.0161,1.5623
1.0168,1.5623
1.0176,1.5623
1.0183,1.5623
1.0191,1.5586
1.0198,1.5549
1.0205,1.5586
1.0213,1.5623
1.0220,1.5623
1.0228,1.5586
1.0235,1.5512
1.0243,1.5586
1.0250,1.5623
1.0257,1.5586
1.0265,1.5586
1.0272,1.5586
1.0280,1.5623
1.0288,1.5623
1.0295,1.5623
1.0302,1.5549
1.0310,1.5586
1.0317,1.5512
1.0325,1.5623
1.0334,1.5623
1.0342,1.5512
1.0351,1.5549
1.0359,1.5549
1.0367,1.5623
1.0376,1.5549
1.0384,1.5549
1.0393,1.5623
1.0401,1.5512
1.0410,1.5623
1.0418,1.5512
1.0427,1.5586
1.0436,1.5512
1.0445,1.5549
1.0454,1.5549
1.0462,1.5623
1.0471,1.5623
