Время[с],Напряжение[В]
0.0007,0.4564
0.0013,0.4564
0.0020,0.4564
0.0027,0.4527
0.0034,0.4564
0.0041,0.4564
0.0047,0.4564
0.0054,0.4564
0.0061,0.4564
0.0069,0.4564
0.0076,0.4564
0.0082,0.4564
0.0089,0.4564
0.0096,0.4564
0.0103,0.4527
0.0111,0.4564
0.0119,0.4564
0.0126,0.4527
0.0133,0.4527
0.0142,0.4564
0.0150,0.4527
0.0157,0.4564
0.0164,0.4564
0.0171,0.4527
0.0178,0.4527
0.0185,0.4564
0.0191,0.4564
0.0198,0.4527
0.0205,0.4602
0.0213,0.4564
0.0222,0.4564
0.0231,0.4564
0.0237,0.4527
0.0244,0.4564
0.0251,0.4564
0.0259,0.4564
0.0266,0.4527
0.0276,0.4527
0.0283,0.4527
0.0290,0.4527
0.0299,0.4527
0.0305,0.4564
0.0311,0.4527
0.0418,0.4564
0.0424,0.4527
0.0431,0.4527
0.0438,0.4527
0.0445,0.4564
0.0451,0.4564
0.0459,0.4564
0.0466,0.4564
0.0473,0.4527
0.0480,0.4527
0.0487,0.4527
0.0494,0.4527
0.0500,0.4602
0.0507,0.4564
0.0514,0.4564
0.0522,0.4564
0.0529,0.4564
0.0536,0.4564
0.0542,0.4564
0.0549,0.4564
0.0556,0.4564
0.0562,0.4602
0.0568,0.4564
0.0574,0.4564
0.0581,0.4527
0.0588,0.4602
0.0595,0.4564
0.0601,0.4527
0.0608,0.4527
0.0614,0.4527
0.0621,0.4564
0.0628,0.4564
0.0635,0.4564
0.0642,0.4527
0.0649,0.4564
0.0655,0.4527
0.0661,0.4564
0.0668,0.4527
0.0675,0.4564
0.0682,0.4564
0.0689,0.4602
0.0695,0.4564
0.0702,0.4564
0.0709,0.4564
0.0716,0.4602
0.0724,0.4564
0.0731,0.4527
0.0737,0.4602
0.0744,0.4527
0.0753,0.4564
0.0759,0.4564
0.0767,0.4564
0.0774,0.4564
0.0782,0.4527
0.0789,0.4564
0.0796,0.4527
0.0804,0.4527
0.0813,0.4564
0.0822,0.4564
0.0829,0.4564
0.0837,0.4527
0.0846,0.4602
0.0853,0.4564
0.0862,0.4564
0.0871,0.4527
0.0880,0.4564
0.0890,0.4564
0.0898,0.4564
0.0905,0.4564
0.0912,0.4602
0.0919,0.4527
0.0926,0.4564
0.0933,0.4564
0.0940,0.4527
0.0947,0.4564
0.0954,0.4527
0.0960,0.4564
0.0967,0.4564
0.0973,0.4527
0.0979,0.4527
0.0986,0.4564
0.0992,0.4564
0.0999,0.4602
0.1005,0.4527
0.1012,0.4564
0.1018,0.4564
0.1025,0.4602
0.1031,0.4564
0.1038,0.4564
0.1045,0.4564
0.1051,0.4527
0.1058,0.4564
0.1064,0.4564
0.1071,0.4527
0.1076,0.4527
0.1082,0.4564
0.1088,0.4564
0.1094,0.4602
0.1099,0.4527
0.1105,0.4564
0.1111,0.4564
0.1116,0.4564
0.1123,0.4564
0.1129,0.4564
0.1135,0.4602
0.1142,0.4564
0.1148,0.4564
0.1155,0.4564
0.1161,0.4527
0.1167,0.4564
0.1174,0.4564
0.1180,0.4564
0.1186,0.4527
0.1193,0.4564
0.1200,0.4564
0.1206,0.4564
0.1212,0.4564
0.1218,0.4564
0.1225,0.4564
0.1232,0.4527
0.1238,0.4564
0.1244,0.4527
0.1250,0.4564
0.1257,0.4564
0.1264,0.4527
0.1270,0.4564
0.1277,0.4527
0.1283,0.4564
0.1290,0.4527
0.1296,0.4564
0.1303,0.4527
0.1310,0.4564
0.1316,0.4602
0.1322,0.4527
0.1329,0.4527
0.1335,0.4564
0.1342,0.4527
0.1348,0.4564
0.1354,0.4527
0.1360,0.4602
0.1367,0.4527
0.1374,0.4564
0.1381,0.4527
0.1387,0.4564
0.1394,0.4564
0.1400,0.4564
0.1406,0.4527
0.1412,0.4564
0.1420,0.4527
0.1427,0.4564
0.1434,0.4564
0.1441,0.4602
0.1448,0.4564
0.1456,0.4564
0.1463,0.4527
0.1469,0.4602
0.1476,0.4564
0.1482,0.4564
0.1489,0.4564
0.1496,0.4602
0.1503,0.4564
0.1510,0.4527
0.1516,0.4527
0.1524,0.4527
0.1531,0.4527
0.1538,0.4602
0.1545,0.4527
0.1552,0.4527
0.1558,0.4564
0.1565,0.4527
0.1572,0.4564
0.1578,0.4527
0.1586,0.4490
0.1593,0.4564
0.1599,0.4527
0.1605,0.4527
0.1611,0.4564
0.1617,0.4527
0.1624,0.4564
0.1630,0.4564
0.1637,0.4564
0.1644,0.4564
0.1651,0.4527
0.1659,0.4527
