Время[с],Напряжение[В]
0.0006,1.1949
0.0012,1.1912
0.0018,1.1949
0.0025,1.1986
0.0031,1.1949
0.0037,1.1949
0.0044,1.1986
0.0050,1.1949
0.0056,1.1986
0.0064,1.1986
0.0070,1.1949
0.0077,1.1986
0.0083,1.1949
0.0089,1.1949
0.0096,1.1912
0.0102,1.1986
0.0108,1.1986
0.0114,1.1986
0.0121,1.1949
0.0127,1.1949
0.0133,1.1949
0.0140,1.1912
0.0146,1.1949
0.0152,1.1986
0.0158,1.1949
0.0165,1.1949
0.0171,1.1912
0.0177,1.1986
0.0184,1.1986
0.0190,1.1986
0.0196,1.1912
0.0203,1.1949
0.0210,1.1986
0.0216,1.1986
0.0255,1.1986
0.0262,1.1986
0.0269,1.1986
0.0275,1.1949
0.0281,1.1949
0.0287,1.1986
0.0293,1.1986
0.0299,1.1986
0.0305,1.1986
0.0311,1.1949
0.0317,1.1986
0.0323,1.1986
0.0329,1.1986
0.0335,1.1986
0.0341,1.1986
0.0347,1.1949
0.0353,1.1949
0.0359,1.1912
0.0366,1.1986
0.0373,1.1912
0.0379,1.1986
0.0386,1.1986
0.0393,1.1986
0.0400,1.1986
0.0407,1.1986
0.0413,1.1986
0.0420,1.1986
0.0427,1.1912
0.0434,1.1986
0.0440,1.1949
0.0447,1.1986
0.0454,1.1986
0.0462,1.1986
0.0468,1.1949
0.0475,1.1875
0.0481,1.1986
0.0487,1.1986
0.0494,1.1949
0.0500,1.1986
0.0506,1.1912
0.0513,1.1986
0.0520,1.1986
0.0526,1.1986
0.0533,1.1912
0.0539,1.1986
0.0546,1.1949
0.0553,1.1986
0.0560,1.1986
0.0566,1.1986
0.0573,1.1986
0.0580,1.1986
0.0586,1.1986
0.0593,1.1986
0.0600,1.1949
0.0606,1.1986
0.0613,1.2023
0.0620,1.1912
0.0627,1.1912
0.0634,1.1949
0.0640,1.1949
0.0647,1.1912
0.0653,1.1949
0.0660,1.1912
0.0667,1.1949
0.0674,1.1986
0.0681,1.1949
0.0688,1.1986
0.0695,1.1986
0.0701,1.1912
0.0709,1.1986
0.0716,1.1949
0.0722,1.1986
0.0729,1.1949
0.0736,1.1986
0.0743,1.1986
0.0750,1.1949
0.0757,1.1912
0.0766,1.1986
0.0773,1.1986
0.0780,1.1949
0.0787,1.1912
0.0795,1.1986
0.0802,1.1949
0.0809,1.1912
0.0817,1.1986
0.0825,1.1986
0.0835,1.1912
0.0844,1.1949
0.0851,1.1986
0.0858,1.1986
0.0865,1.1986
0.0871,1.1986
0.0880,1.1949
0.0887,1.1986
0.0897,1.1912
0.0906,1.1949
0.0914,1.1986
0.0922,1.1986
0.0931,1.1986
0.0939,1.1949
0.0947,1.1949
0.0954,1.1949
0.0962,1.1949
0.0970,1.1986
0.0978,1.1986
0.0986,1.1986
0.0996,1.1949
0.1003,1.1949
0.1010,1.1986
0.1017,1.1986
0.1024,1.1986
0.1031,1.1986
0.1038,1.1986
0.1045,1.1949
0.1052,1.1986
0.1059,1.1949
0.1066,1.1912
0.1073,1.1949
0.1080,1.1986
0.1087,1.1986
0.1094,1.1912
0.1101,1.1949
0.1108,1.1986
0.1115,1.1949
0.1122,1.1986
0.1130,1.1986
0.1137,1.1986
0.1144,1.1986
0.1151,1.1912
0.1158,1.1912
0.1165,1.1986
0.1173,1.1986
0.1180,1.1949
0.1187,1.1949
0.1195,1.1912
0.1202,1.1912
0.1209,1.1986
0.1217,1.1986
0.1225,1.1986
0.1232,1.1949
0.1239,1.1949
0.1247,1.1949
0.1254,1.1986
0.1262,1.1912
0.1270,1.1949
0.1277,1.1912
0.1285,1.1986
0.1292,1.1986
0.1300,1.2023
0.1307,1.1949
0.1315,1.1949
0.1322,1.1949
0.1330,1.1986
0.1337,1.1912
0.1345,1.1949
0.1352,1.1912
0.1359,1.1986
0.1366,1.1986
0.1373,1.1949
0.1380,1.1986
0.1387,1.1986
0.1394,1.1986
0.1401,1.1949
0.1408,1.1986
0.1415,1.1986
0.1422,1.1949
0.1428,1.1949
0.1435,1.1986
0.1443,1.1986
0.1450,1.1949
0.1456,1.1949
0.1463,1.1986
0.1470,1.1949
0.1477,1.1986
0.1484,1.1949
0.1491,1.1986
0.1498,1.1949
0.1505,1.1949
0.1512,1.1912
0.1519,1.1949
0.1526,1.1986
0.1533,1.1912
0.1541,1.1986
0.1548,1.1986
0.1555,1.1986
0.1562,1.1986
0.1569,1.1986
0.1576,1.1949
0.1583,1.1986
0.1590,1.1986
0.1597,1.1949
0.1605,1.1986
0.1612,1.1986
0.1619,1.1949
0.1626,1.1949
0.1633,1.1949
0.1640,1.1949
0.1647,1.1986
0.1654,1.1949
0.1661,1.1949
0.1668,1.1986
0.1675,1.1986
0.1682,1.1949
0.1689,1.1986
0.1696,1.1986
0.1703,1.1949
0.1710,1.1986
0.1717,1.1986
0.1724,1.1986
